75 150 {'SUID': 152, 'selected': False, 'interaction type': 'reaction-reactant'}
74 157 {'SUID': 160, 'selected': False, 'interaction type': 'reaction-modifier'}
74 154 {'SUID': 156, 'selected': False, 'interaction type': 'reaction-reactant'}
74 150 {'SUID': 151, 'selected': False, 'interaction type': 'reaction-product'}
73 261 {'SUID': 262, 'selected': False, 'interaction type': 'reaction-product'}
73 146 {'SUID': 147, 'selected': False, 'interaction type': 'reaction-product'}
73 142 {'SUID': 144, 'selected': False, 'interaction type': 'reaction-reactant'}
72 265 {'SUID': 268, 'selected': False, 'interaction type': 'reaction-modifier'}
72 261 {'SUID': 263, 'selected': False, 'interaction type': 'reaction-reactant'}
72 150 {'SUID': 153, 'selected': False, 'interaction type': 'reaction-modifier'}
72 146 {'SUID': 148, 'selected': False, 'interaction type': 'reaction-reactant'}
72 142 {'SUID': 143, 'selected': False, 'interaction type': 'reaction-product'}
71 197 {'SUID': 199, 'selected': False, 'interaction type': 'reaction-reactant'}
71 138 {'SUID': 139, 'selected': False, 'interaction type': 'reaction-product'}
71 134 {'SUID': 136, 'selected': False, 'interaction type': 'reaction-reactant'}
70 197 {'SUID': 198, 'selected': False, 'interaction type': 'reaction-product'}
70 142 {'SUID': 145, 'selected': False, 'interaction type': 'reaction-modifier'}
70 138 {'SUID': 140, 'selected': False, 'interaction type': 'reaction-reactant'}
70 134 {'SUID': 135, 'selected': False, 'interaction type': 'reaction-product'}
69 176 {'SUID': 177, 'selected': False, 'interaction type': 'reaction-product'}
69 130 {'SUID': 131, 'selected': False, 'interaction type': 'reaction-product'}
69 126 {'SUID': 128, 'selected': False, 'interaction type': 'reaction-reactant'}
68 261 {'SUID': 264, 'selected': False, 'interaction type': 'reaction-modifier'}
68 176 {'SUID': 178, 'selected': False, 'interaction type': 'reaction-reactant'}
68 134 {'SUID': 137, 'selected': False, 'interaction type': 'reaction-modifier'}
68 130 {'SUID': 132, 'selected': False, 'interaction type': 'reaction-reactant'}
68 126 {'SUID': 127, 'selected': False, 'interaction type': 'reaction-product'}
67 122 {'SUID': 123, 'selected': False, 'interaction type': 'reaction-product'}
67 118 {'SUID': 120, 'selected': False, 'interaction type': 'reaction-reactant'}
66 165 {'SUID': 168, 'selected': False, 'interaction type': 'reaction-modifier'}
66 126 {'SUID': 129, 'selected': False, 'interaction type': 'reaction-modifier'}
66 122 {'SUID': 124, 'selected': False, 'interaction type': 'reaction-reactant'}
66 118 {'SUID': 119, 'selected': False, 'interaction type': 'reaction-product'}
65 265 {'SUID': 266, 'selected': False, 'interaction type': 'reaction-product'}
65 157 {'SUID': 158, 'selected': False, 'interaction type': 'reaction-product'}
65 114 {'SUID': 116, 'selected': False, 'interaction type': 'reaction-reactant'}
64 265 {'SUID': 267, 'selected': False, 'interaction type': 'reaction-reactant'}
64 157 {'SUID': 159, 'selected': False, 'interaction type': 'reaction-reactant'}
64 118 {'SUID': 121, 'selected': False, 'interaction type': 'reaction-modifier'}
64 114 {'SUID': 115, 'selected': False, 'interaction type': 'reaction-product'}
63 204 {'SUID': 205, 'selected': False, 'interaction type': 'reaction-reactant'}
63 201 {'SUID': 202, 'selected': False, 'interaction type': 'reaction-product'}
63 110 {'SUID': 113, 'selected': False, 'interaction type': 'reaction-reactant'}
62 222 {'SUID': 225, 'selected': False, 'interaction type': 'reaction-modifier'}
62 182 {'SUID': 185, 'selected': False, 'interaction type': 'reaction-modifier'}
62 180 {'SUID': 181, 'selected': False, 'interaction type': 'reaction-reactant'}
62 161 {'SUID': 164, 'selected': False, 'interaction type': 'reaction-modifier'}
62 114 {'SUID': 117, 'selected': False, 'interaction type': 'reaction-modifier'}
62 110 {'SUID': 111, 'selected': False, 'interaction type': 'reaction-product'}
